id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
238,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,30-34,PEREMPUAN,39393,JIWA,2021
239,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,35-39,LAKI-LAKI,47240,JIWA,2021
240,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,35-39,PEREMPUAN,45611,JIWA,2021
241,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,40-44,LAKI-LAKI,45852,JIWA,2021
242,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,40-44,PEREMPUAN,44341,JIWA,2021
243,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,45-49,LAKI-LAKI,42420,JIWA,2021
244,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,45-49,PEREMPUAN,42475,JIWA,2021
245,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50-54,LAKI-LAKI,37186,JIWA,2021
246,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50-54,PEREMPUAN,37269,JIWA,2021
247,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,55-59,LAKI-LAKI,31265,JIWA,2021
